"","S","I","R","t"
"138",390,79,30,4.62066021162217
"139",389,80,30,4.63655164235667
"140",389,79,31,4.73614621787344
"141",389,78,32,4.78746960357679
"142",388,79,32,4.79607493757685
"143",387,80,32,4.81263249692385
"144",386,81,32,4.83381369477629
"145",386,80,33,4.87152251974029
"146",385,81,33,4.87836476956777
"147",384,82,33,4.89325439600101
"148",383,83,33,4.89747614159755
"149",382,84,33,4.91531333717649
"150",381,85,33,4.9182775490237
"151",381,84,34,5.10278143148335
"152",381,83,35,5.13210608096082
"153",381,82,36,5.16300103933595
"154",380,83,36,5.18360792252265
"155",380,82,37,5.22905532162161
"156",380,81,38,5.25989157092492
"157",379,82,38,5.26070986612694
"158",379,81,39,5.30116496579647
"159",378,82,39,5.32189770301397
"160",377,83,39,5.3378323906293
"161",376,84,39,5.36207753733433
"162",375,85,39,5.36329182297692
"163",374,86,39,5.3771287498029
"164",373,87,39,5.39089629631781
"165",372,88,39,5.40082626720079
"166",371,89,39,5.41463980173896
"167",370,90,39,5.43243169232092
"168",370,89,40,5.45824695446
"169",370,88,41,5.49525346773393
"170",369,89,41,5.49649763103747
"171",369,88,42,5.58199462434852
"172",368,89,42,5.58450064272733
"173",368,88,43,5.62029522532144
"174",368,87,44,5.6499704949835
"175",367,88,44,5.66253168375359
"176",366,89,44,5.66408770238115
"177",365,90,44,5.66725839942583
"178",364,91,44,5.67127488988039
"179",364,90,45,5.72105752201887
"180",364,89,46,5.74774113355516
"181",363,90,46,5.76355028610835
"182",362,91,46,5.78545283460459
"183",361,92,46,5.78643641915947
"184",361,91,47,5.82095464958861
"185",361,90,48,5.85227034355237
"186",360,91,48,5.86367064149258
"187",360,90,49,5.89130832257303
"188",360,89,50,5.93984298344889
"189",359,90,50,5.96338937100846
"190",358,91,50,5.98653032927522
"191",357,92,50,5.99940211215272
"192",356,93,50,6.0022044636361
"193",355,94,50,6.01755630318381
"194",355,93,51,6.04873081960614
"195",354,94,51,6.061372736906
"196",353,95,51,6.06742214821634
"197",352,96,51,6.08888140945809
"198",351,97,51,6.09276405046214
"199",351,96,52,6.11592114422541
"200",350,97,52,6.12397888410474
"201",349,98,52,6.14562110830302
"202",348,99,52,6.14652518841792
"203",347,100,52,6.14949271982209
"204",346,101,52,6.15501614673435
"205",345,102,52,6.16047199649004
"206",344,103,52,6.164048321815
"207",343,104,52,6.1660312033
"208",342,105,52,6.17611255795149
"209",341,106,52,6.18653916845621
"210",340,107,52,6.19910048041817
"211",339,108,52,6.21569067697679
"212",338,109,52,6.22224801821736
"213",338,108,53,6.25505494568088
"214",337,109,53,6.26143325476363
"215",336,110,53,6.2771553792672
"216",335,111,53,6.28633633119035
"217",335,110,54,6.33753110815597
"218",334,111,54,6.34014780537499
"219",334,110,55,6.37380613338591
"220",333,111,55,6.39310765991131
"221",332,112,55,6.40157568120822
"222",331,113,55,6.41413095737993
"223",331,112,56,6.43615659104071
"224",330,113,56,6.44441180424041
"225",330,112,57,6.49640776291452
"226",329,113,57,6.5142645117686
"227",328,114,57,6.52864320938785
"228",327,115,57,6.53286272358913
"229",326,116,57,6.53837386351318
"230",325,117,57,6.55417374896979
"231",324,118,57,6.55748407381773
"232",323,119,57,6.56095342914168
"233",323,118,58,6.57951690224115
"234",322,119,58,6.57985646571614
"235",322,118,59,6.60330938216597
"236",321,119,59,6.61592884367908
"237",321,118,60,6.63816255658942
"238",320,119,60,6.65376890110796
"239",319,120,60,6.66669932093964
"240",318,121,60,6.67361041016735
"241",317,122,60,6.67367326073396
"242",316,123,60,6.67748362004137
"243",316,122,61,6.69695962275788
"244",315,123,61,6.71147625014222
"245",314,124,61,6.71990638165693
"246",313,125,61,6.72272324384287
"247",312,126,61,6.72742022649136
"248",312,125,62,6.74697875199453
"249",311,126,62,6.74953260719009
"250",310,127,62,6.76226213650648
"251",310,126,63,6.79949723703558
"252",310,125,64,6.81809793381957
"253",310,124,65,6.83481117276695
"254",309,125,65,6.83776866015222
"255",309,124,66,6.86920659225438
"256",308,125,66,6.87365258992048
"257",307,126,66,6.88707748318501
"258",306,127,66,6.88808842593357
"259",305,128,66,6.89185849881139
"260",305,127,67,6.93354674470758
"261",304,128,67,6.93369840257634
"262",303,129,67,6.94039924584469
"263",303,128,68,6.96697936211266
"264",302,129,68,6.97444119076832
"265",301,130,68,6.97662546123778
"266",300,131,68,6.98153462410784
"267",299,132,68,6.98198401649857
