"","S","I","R","t"
"227",319,134,47,11.4419839661884
"228",318,135,47,11.4506073738366
"229",317,136,47,11.4541280003697
"230",317,135,48,11.4705997116404
"231",316,136,48,11.4785485529992
"232",316,135,49,11.5156310466937
"233",315,136,49,11.5230297410651
"234",315,135,50,11.5396920451637
"235",315,134,51,11.5611414936813
"236",314,135,51,11.5675458452335
"237",314,134,52,11.6440592415114
"238",313,135,52,11.660246697908
"239",313,134,53,11.7061160916279
"240",312,135,53,11.7147108223803
"241",311,136,53,11.7162640100197
"242",310,137,53,11.7209664409464
"243",310,136,54,11.7452961868625
"244",309,137,54,11.7526123659472
"245",308,138,54,11.7538950245503
"246",308,137,55,11.7802969796154
"247",307,138,55,11.7837044540775
"248",306,139,55,11.7893499789116
"249",305,140,55,11.7907292899472
"250",304,141,55,11.7916912140253
"251",303,142,55,11.7975747438194
"252",303,141,56,11.8357846125884
"253",303,140,57,11.8820987196976
"254",302,141,57,11.8902592224755
"255",302,140,58,11.9269600594675
"256",301,141,58,11.9274786476984
"257",301,140,59,11.9748795982007
"258",301,139,60,11.9961972769696
"259",300,140,60,12.0102244251445
"260",299,141,60,12.0114265087165
"261",299,140,61,12.0319876736772
"262",299,139,62,12.0521790118505
"263",298,140,62,12.0524234918707
"264",297,141,62,12.0577796308504
"265",296,142,62,12.0612368467473
"266",295,143,62,12.0648287704253
"267",295,142,63,12.0943412443047
"268",294,143,63,12.1037513882869
"269",294,142,64,12.1202614232227
"270",294,141,65,12.1656364352482
"271",293,142,65,12.1675446649721
"272",292,143,65,12.1766819145275
"273",292,142,66,12.203612498464
"274",292,141,67,12.2210658044665
"275",292,140,68,12.243804151598
"276",292,139,69,12.2709353468684
"277",291,140,69,12.281954822584
"278",290,141,69,12.2835273014952
"279",290,140,70,12.3108478940241
"280",289,141,70,12.3141150897314
"281",288,142,70,12.3204291686628
"282",287,143,70,12.3295795076892
"283",286,144,70,12.3369410960683
"284",286,143,71,12.387357692399
"285",285,144,71,12.3913500846895
"286",284,145,71,12.3937492165063
"287",283,146,71,12.3994023662993
"288",283,145,72,12.4339010930416
"289",283,144,73,12.4641241388988
"290",282,145,73,12.464546264713
"291",282,144,74,12.5265948909887
"292",281,145,74,12.5394124265604
"293",280,146,74,12.5514895555758
"294",280,145,75,12.6010641514536
"295",280,144,76,12.6382919254739
"296",280,143,77,12.6572882995926
"297",279,144,77,12.6701356579861
"298",278,145,77,12.6726912119247
"299",278,144,78,12.726452804406
"300",277,145,78,12.7346937898358
"301",277,144,79,12.7606651275753
"302",276,145,79,12.7693068364984
"303",275,146,79,12.7816292505149
"304",275,145,80,12.8024344947966
"305",275,144,81,12.8183513320435
"306",275,143,82,12.8388614046287
"307",274,144,82,12.8412550080826
"308",273,145,82,12.8496363217516
"309",272,146,82,12.8592352362478
"310",271,147,82,12.8610672111506
"311",271,146,83,12.8764610634091
"312",270,147,83,12.8870405968812
"313",270,146,84,12.9189189921657
"314",269,147,84,12.9278036126128
"315",268,148,84,12.9285987231033
"316",268,147,85,12.9442726343303
"317",267,148,85,12.9470956688152
"318",267,147,86,13.0535224700485
"319",267,146,87,13.0848161034338
"320",267,145,88,13.1023179928884
"321",266,146,88,13.1049923740026
"322",266,145,89,13.1396634525463
"323",266,144,90,13.1739346286633
"324",265,145,90,13.1832976432608
"325",264,146,90,13.1977356531536
"326",263,147,90,13.2064603873681
"327",262,148,90,13.2188705365377
"328",262,147,91,13.2451468038068
"329",262,146,92,13.2695223620871
"330",261,147,92,13.2794839762351
"331",260,148,92,13.2875448764153
"332",260,147,93,13.3434978630402
"333",260,146,94,13.3950409393441
"334",260,145,95,13.4509402746922
"335",259,146,95,13.4615783065182
"336",259,145,96,13.4899272934851
"337",258,146,96,13.4925530845249
"338",257,147,96,13.5060385707569
"339",257,146,97,13.5250370058235
"340",257,145,98,13.5540905096096
"341",257,144,99,13.575839335796
"342",257,143,100,13.6353221156673
"343",257,142,101,13.6784677736896
"344",256,143,101,13.6931520931565
"345",255,144,101,13.6938389526293
"346",255,143,102,13.8182554089009
"347",255,142,103,13.8360434202734
"348",255,141,104,13.9045348757425
"349",255,140,105,13.9261661323365
"350",255,139,106,13.9538175614574
"351",255,138,107,13.9828664591174
"352",254,139,107,13.9910542710073
"353",254,138,108,14.0516552757668
"354",254,137,109,14.0739599453989
"355",254,136,110,14.1095295788141
"356",254,135,111,14.1922487329107
"357",253,136,111,14.2024170616921
"358",252,137,111,14.2029486017934
"359",251,138,111,14.2029611589519
"360",250,139,111,14.2080308211323
"361",250,138,112,14.2694613420659
"362",250,137,113,14.2850297004383
"363",250,136,114,14.3150543671314
"364",249,137,114,14.3292357529151
"365",249,136,115,14.3727245748217
"366",248,137,115,14.3758457325518
"367",247,138,115,14.3793504019618
"368",247,137,116,14.3953828099789
"369",246,138,116,14.4033449068186
"370",246,137,117,14.4293637159634
"371",246,136,118,14.4446199933192
"372",246,135,119,14.4760570312457
"373",245,136,119,14.4788287355916
"374",244,137,119,14.4830746167133
"375",244,136,120,14.5282420855103
"376",243,137,120,14.5399411917559
"377",242,138,120,14.5463181984958
"378",242,137,121,14.5610269609839
"379",241,138,121,14.5699411017781
"380",241,137,122,14.6002849084414
"381",240,138,122,14.6090963065258
"382",239,139,122,14.6165180395235
"383",238,140,122,14.6199777301819
"384",237,141,122,14.6223364409736
"385",237,140,123,14.6487939200366
"386",236,141,123,14.6577039078529
"387",236,140,124,14.672477150367
"388",235,141,124,14.6828137302937
"389",235,140,125,14.7034971394695
"390",234,141,125,14.7100108941465
"391",234,140,126,14.7350976802275
"392",234,139,127,14.826652537422
"393",233,140,127,14.8288600148728
"394",232,141,127,14.8301586657528
"395",232,140,128,14.8601616337435
"396",232,139,129,14.9458341036091
"397",231,140,129,14.9563303544851
"398",231,139,130,14.9842576469256
"399",231,138,131,15.0216739554149
"400",231,137,132,15.0699693830967
"401",231,136,133,15.0916167578714
"402",231,135,134,15.123546241665
"403",231,134,135,15.1445960169002
"404",231,133,136,15.1846208859315
"405",231,132,137,15.1984348890638
"406",231,131,138,15.2222127199159
"407",231,130,139,15.236474033898
"408",231,129,140,15.2726854822394
