"","id","infectionTimes","recoveryTimes","id2"
"1",1,1.7919212807017,16.5301005929295,2
"2",2,19.6904316358384,NA,NA
"3",3,4.75853363825173,20.9611119643526,1
"4",4,7.84950503752807,8.4576933905797,1
"5",5,4.80903763714648,14.7941592184061,3
"6",6,4.77925647038213,14.8861512793136,3
"7",7,4.78123429800051,17.3751934201119,1
"8",8,4.78931868309381,35.8474164190357,3
"9",9,7.03443582958703,7.59592075217463,6
"10",10,7.41713533022729,14.6975967981214,9
"11",11,6.00385293637204,19.6366517694025,3
"12",12,5.63051175134382,12.4024508547597,7
"13",13,7.11861738065108,7.19592573807187,9
"14",14,2.70500517183568,4.71956516223346,2
"15",15,4.9508929250548,18.1075088034564,3
"16",16,6.56798457414801,12.0204176182135,6
"17",17,10.4586106598936,15.7480985365776,10
"18",18,6.30715142917093,14.5353243265612,7
"19",19,2.34474590571888,25.4325960935168,1
"20",20,4.98397157891171,17.140639514718,3
"21",21,4.80484022496931,19.7282864904652,3
"22",22,NA,NA,NA
"23",23,6.91144665988813,10.5950443037586,16
"24",24,5.99634152439974,13.4832807258579,7
"25",25,5.05651004277384,26.7017428131069,5
"26",26,NA,NA,NA
"27",27,6.43729740680257,6.69133562569462,20
"28",28,5.76103811705818,6.03189409023125,5
"29",29,NA,NA,NA
"30",30,NA,NA,NA
"31",31,7.97442767066198,8.65144324698296,10
"32",32,6.44913892080279,6.88683674327886,7
"33",33,6.30857536925565,6.37244314229681,7
"34",34,NA,NA,NA
"35",35,6.88909350932093,13.6817364282039,11
"36",36,7.1198749802183,7.24332290884642,7
"37",37,5.17944027743036,25.4540300333863,6
"38",38,2.4497755590427,17.3625498736561,1
"39",39,NA,NA,NA
"40",40,5.05495006432827,25.6516715141811,3
"41",41,8.25787215602917,10.9249180142715,16
"42",42,6.64065775803181,7.57920388876971,1
"43",43,6.964697299731,18.0452600959882,16
"44",44,7.03263086178034,8.70684089989103,43
"45",45,5.27851827842203,46.0081692452928,7
"46",46,7.19665083309274,9.57167061065606,7
"47",47,NA,NA,NA
"48",48,6.94858624110657,8.97481969091275,7
"49",49,NA,NA,NA
"50",50,8.94318161221977,12.2354815481757,10
"51",51,9.35397317494123,11.8268366230082,43
"52",52,7.20788273771716,8.15895516422293,3
"53",53,10.5365753769875,11.2056676524929,51
"54",54,NA,NA,NA
"55",55,5.22954405534992,16.98720577973,7
"56",56,7.91519779778781,8.55164323618079,25
"57",57,8.90689033655824,11.2257207689608,41
"58",58,NA,NA,NA
"59",59,NA,NA,NA
"60",60,10.4445276524317,14.4027333949569,43
"61",61,NA,NA,NA
"62",62,7.25831815739528,9.89053827282578,48
"63",63,NA,NA,NA
"64",64,7.50102336215625,11.3205641274089,35
"65",65,6.5865202184926,11.8575424866373,3
"66",66,7.70219210219822,9.61142273237293,16
"67",67,NA,NA,NA
"68",68,5.26865068698768,16.2124429255878,8
"69",69,7.68968986099136,42.5549606559232,48
"70",70,6.64057681637116,6.83297719019873,7
"71",71,NA,NA,NA
"72",72,10.6170706359607,15.5816504792256,41
"73",73,13.6324345295,25.3807981512568,55
"74",74,10.4666926686532,10.6909906108649,60
"75",75,NA,NA,NA
"76",76,NA,NA,NA
"77",77,6.96202130872975,10.566924845513,3
"78",78,8.37852931503027,15.1130042815364,10
"79",79,8.51774209700675,8.90233898306133,7
"80",80,NA,NA,NA
"81",81,8.30371036323867,8.86779632196082,16
"82",82,4.82479130151823,15.370593368065,3
"83",83,9.89588896742878,13.1718723581781,25
"84",84,8.16051472685344,10.3112740239949,10
"85",85,6.44484188186737,52.6114991503398,11
"86",86,8.55389996366456,9.19888489816653,16
"87",87,9.49146108880274,14.6027537164842,16
"88",88,6.98705710790838,7.84924515802146,65
"89",89,6.79968504665026,7.33934976147537,55
"90",90,3.13432942289287,3.4315246840096,1
"91",91,4.86264554213392,16.8781019850954,3
"92",92,9.09538301644898,9.8673326404401,10
"93",93,8.34314243615449,11.7247843447457,43
"94",94,NA,NA,NA
"95",95,6.27230633224486,6.41622658310592,11
"96",96,6.69474422743423,6.75916028199291,16
"97",97,8.36467564434011,12.262264180947,10
"98",98,4.87893186089316,15.1756664837522,3
"99",99,8.95853833494753,9.76203040869707,57
"100",100,NA,NA,NA
"101",101,4.88084194631158,14.5430860378612,1
"102",102,NA,NA,NA
"103",103,5.62867930499734,23.7935027044784,55
"104",104,7.69661548633314,11.7751018304752,55
"105",105,NA,NA,NA
"106",106,5.43793816654322,5.51189196473305,7
"107",107,6.05353156543905,18.9706496544893,7
"108",108,NA,NA,NA
"109",109,12.3560576064362,14.9140054460367,10
"110",110,9.23241411391395,13.807530005662,55
"111",111,7.1424251335544,15.2492017505409,43
"112",112,7.61374221280691,8.82827781524619,10
"113",113,6.30294720403345,11.6291904936637,7
"114",114,7.54516260600541,7.96131656432098,16
"115",115,NA,NA,NA
"116",116,6.90750434104189,8.04649860861972,107
"117",117,NA,NA,NA
"118",118,11.1347664695174,29.4564524009045,16
"119",119,7.64475440455273,11.1702417492929,48
"120",120,5.20656810379045,14.2076886559325,82
"121",121,5.99129199360077,13.354931446962,15
"122",122,5.52499692283021,17.4405856850131,7
"123",123,5.31392721111999,13.5057226874922,40
"124",124,6.53080854980945,6.63305797231595,11
"125",125,5.42473944143768,22.5201158140729,6
"126",126,7.10411527865256,7.4408595291242,7
"127",127,7.93525588259686,17.6934128260778,55
"128",128,8.02962102218506,22.8693646296504,10
"129",129,13.1774514385323,13.3309420390097,60
"130",130,5.4787369817009,13.595593417192,3
"131",131,5.67341516995584,5.81380913274529,6
