"","id","infectionTimes","recoveryTimes"
"1",1,2.86838271910719,17.5445864932232
"2",2,19.4888891480006,NA
"3",3,4.72052651368967,14.4695307618305
"4",4,4.87091248118171,5.26242685143859
"5",5,4.03689172294837,11.6553056047019
"6",6,6.14956027356927,6.98801070217515
"7",7,5.84491759433334,11.4556546941992
"8",8,6.30542013735241,11.8529869693714
"9",9,2.59629738204089,26.3758254075994
"10",10,4.87544328709796,9.41050657708263
"11",11,12.0138155692527,13.5773312839503
"12",12,4.98531439276793,5.2454092159384
"13",13,2.74136778144464,15.8297126775871
"14",14,4.3839814916409,11.715765179606
"15",15,8.92898412361736,9.11900379187703
"16",16,4.827843747306,12.0585028753185
"17",17,7.29474489560228,8.29534949464424
"18",18,12.189486290429,31.4205674930462
"19",19,NA,NA
"20",20,4.38518148387003,4.48247623395029
"21",21,2.88646623159704,14.3578651094103
"22",22,5.4776345578321,9.12916341368938
"23",23,5.20510807674315,5.39407716364589
"24",24,6.0369415661221,7.84631338884778
"25",25,NA,NA
"26",26,NA,NA
"27",27,9.41062714237403,18.9736901559146
"28",28,6.29574410130566,7.52066350460201
"29",29,7.12918725693677,7.61391294890916
"30",30,8.98605173579771,10.6865739992831
"31",31,10.1875984697103,10.2814538038522
"32",32,5.97991117002645,9.20870298193395
"33",33,4.66755112899319,10.1268404925683
"34",34,4.6426096914191,12.6727849436664
"35",35,4.91167051774911,5.17666398822648
"36",36,4.66618598286607,4.79019003863495
"37",37,7.2423406585318,8.80729823303839
"38",38,6.2545333891956,6.36312714841208
"39",39,6.38601871354655,7.01943807156371
"40",40,8.6923019672605,10.7900356067505
"41",41,4.64118709198431,15.9708213520697
"42",42,5.60143712330029,9.53499180066187
"43",43,5.65829376541651,8.23046370329871
"44",44,NA,NA
"45",45,8.20000145226503,15.6631062486288
"46",46,7.52753178757501,18.6366710277902
"47",47,4.28210135067391,4.34640292706207
"48",48,9.78122392672046,13.1464120080161
"49",49,7.91387132984009,15.2622249637785
"50",50,3.77812913994655,11.8605049910294
"51",51,5.65173845035743,9.04357310362382
"52",52,2.62134278380921,26.1756225317757
"53",53,9.93409234104158,14.3655104863199
"54",54,4.87462470127817,5.22138122639816
"55",55,8.91018601700851,16.1931562514873
"56",56,4.72457247948167,11.6470600515661
"57",57,11.4127041277279,31.6841212098878
"58",58,4.44977262124807,17.894433124905
"59",59,4.83173530588246,9.84981931826002
"60",60,7.35667905421999,9.45110132003223
"61",61,4.28539232379295,12.0134440390714
"62",62,4.28005355786548,11.9483102518245
"63",63,8.04009504425481,19.5254692762577
"64",64,6.10962163767171,6.22377301563758
"65",65,2.81043890288043,23.9188013770101
"66",66,4.40536907416747,24.7675812102747
"67",67,7.45647723108824,27.6649784775288
"68",68,4.63532982863231,4.74684899092416
"69",69,7.34747525664901,8.1115490149719
"70",70,2.94179730636855,14.7032998149353
"71",71,10.9833459127765,11.4076769190004
"72",72,2.36489885400217,19.2376478961076
"73",73,4.60221001311768,10.9954150111678
"74",74,7.59802500405597,8.62617425167033
"75",75,4.63208243794743,18.8386057306606
"76",76,NA,NA
"77",77,NA,NA
"78",78,3.42873140927628,18.3098212945734
"79",79,8.02989648871475,16.5658723711773
"80",80,4.17689637669185,11.0234217750714
"81",81,6.7601922067734,6.97405451974374
"82",82,8.16276964356853,15.9979783679342
"83",83,13.5863449568024,45.8811366166779
"84",84,9.46590540109783,12.4438974758287
"85",85,3.6614397205756,3.75891468939344
"86",86,4.21454981747803,11.7037564196454
"87",87,3.58198188901834,13.8542439167425
"88",88,6.429501403168,6.5289853029846
"89",89,4.85891066773445,10.0131726205086
"90",90,3.93320186157679,13.4269857972479
"91",91,9.92308735564715,41.1801308243836
"92",92,8.53263957083212,9.92195395241111
"93",93,5.51068681558678,13.7214002987198
"94",94,5.15581824291217,9.96382869946175
"95",95,6.14952207028701,6.75650586620449
"96",96,4.53714866031595,11.8768486321312
"97",97,11.3289646969083,20.4644315843956
"98",98,6.47843486755819,6.65378776965485
"99",99,5.56652733581959,14.694500179587
"100",100,4.76329021358534,4.85431008399901
"101",101,7.94877915580284,8.51146450322944
"102",102,5.02648533560766,5.28876662733912
"103",103,2.78745347913922,22.6511116317448
"104",104,6.67350056884571,10.5731050587382
"105",105,9.51355239017287,17.7417772417257
"106",106,NA,NA
"107",107,6.842669889805,9.25781814790595
"108",108,10.4388172164268,15.8844209889499
"109",109,8.40023701459101,8.43075916926545
"110",110,5.59550979199439,5.94541845001847
"111",111,10.3958577861668,10.43821900811
"112",112,5.47963265956653,9.1602347752657
"113",113,4.41001572678473,16.0911856752784
"114",114,8.35266280641811,15.7018456296002
"115",115,2.39110713253833,59.3070492965646
"116",116,10.18959248402,11.1861728639021
"117",117,3.69687693207093,12.7349524302406
"118",118,5.61667484100562,10.4784793069604
"119",119,7.80113438990813,50.9185931961363
"120",120,NA,NA
"121",121,8.39861189567512,8.65959295136454
"122",122,13.5816873688282,16.0160079893314
"123",123,3.65603043115354,18.9218775747343
"124",124,7.59412456236244,10.5264692350183
"125",125,NA,NA
"126",126,6.76829027856162,7.50358468258092
"127",127,6.92081731946097,9.67249219408295
"128",128,7.2249160110278,7.97068842923348
"129",129,6.28714385868983,6.71812553743283
"130",130,10.0022158286629,11.982389305357
"131",131,3.99624081778489,11.5491241234487
"132",132,11.0275537640472,18.5073665614221
"133",133,9.73876447433875,10.0394815413239
"134",134,10.2155375983625,11.8354755044144
"135",135,NA,NA
"136",136,8.03857884563305,9.77292091529559
"137",137,4.63947436247348,12.3887791769706
